"Abteilung","Suchbegriff","Suchhäufigkeit","ASIN","Nr. 1 der geklickten Titel","Klickfreigabe","Umwandlungs-Anteil","ASIN","Nr. 2 der geklickten Titel","Klickfreigabe","Umwandlungs-Anteil","ASIN","Nr. 3 der geklickten Titel","Klickfreigabe","Umwandlungs-Anteil","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","fritz fon","99.74","B01BBWWFB2","AVM FRITZ!Fon C5 DECT-Komforttelefon für FRITZ!Box (hochwertiges Farbdisplay, HD-Telefonie, Internet-/Komfortdienste, Steuerung FRITZ!Box-Funktionen)","55.72","22.96","B00H90PS92","AVM FRITZ!Fon C4 Telefon (Farbdisplay, beleuchtete Tastatur) weiß","24.61","16.8","B0031D3A78","AVM FRITZ!Fon MT-F DECT-Komforttelefon für FRITZ!Box (Farbdisplay, HD-Telefonie)","4.32","34.45","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","gregs tagebuch 11","99.74","3833936525","Gregs Tagebuch 11 - Alles Käse!","89.89","48.24","3833936517","Gregs Tagebuch 10 - So ein Mist!: Band 10","2.47","4.46","3833900768","Gregs Tagebuch: Mach's wie Greg!","1.88","4.17","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","jack wolfskin jacke herren","99.74","B00L7GDJWW","Jack Wolfskin Herren 3-in-1 Hardshelljacke Iceland","17.08","0","B000XDD0RE","Jack Wolfskin Iceland Men black (Größe: L)","5.27","0","B00TSUWUXS","Jack Wolfskin Herren Wetterschutzjacke Wattiert North Country, black, M, 1102294-6000003","5.19","5.91","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","mach dieses buch fertig","99.74","3888979145","Mach dieses Buch fertig: Erweiterte Neuausgabe","48.8","24.63","3956141326","Mach dieses Buch fertig immer und überall","33.49","26.65","3473553336","Mach mich fertig! 101 Ideen rund ums Buch für Mädchen","4.51","4.7","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","mikroskop","99.74","B003LJIVGC","Bresser junior Mikroskop-Set Biolux DE 40x-1024x USB","21.03","7.23","B00029CZV6","Clementoni 69804 - Natur unter dem Mikroskop, Galileo Experimentierkasten","12.87","4.88","B001UJJGV4","Bresser junior Stereo Mikroskop 20x","11.95","5.07","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","navigationsgeräte","99.74","B00BEBPV30","TomTom Start 25 M Europe Traffic, Navigationsgerät (Free Lifetime Maps, 13cm (5 Zoll) Display, TMC, Fahrspurassistent, Parkassistent, IQ Routes, Europa 45) schwarz","27.1","12.69","B00VVQ5L5G","Garmin nüvi 57LMT Navigationsgerät (lebenslange Kartenupdates, Premium Verkehrsfunklizenz, 12,7cm (5 Zoll) Touchscreen)","25.36","12.7","B015FAEHTE","Becker ready.5 CE Navigationsgerät (12,7 cm (5 Zoll) Bildschirm, 20 Länder vorinstalliert, Lebenslange Kartenupdates, TMC, inkl. MagClick Aktivhalter, SituationScan)","4.77","11.58","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","sex kapseln","99.74","B01G3PVD56","","50.31","0","B01G3MIJ7O","","49.66","0","B003O8I74Q","CHOPIN-SCHUMANN Anniversary Edition 2010 [2-SACD Deluxe Digipak] [Critics' Choice Award 2010, American Record Guide, USA] [Turok's Choice 2011, USA]","0.02","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","wäschetrockner","99.74","B00HX0X7GO","Bosch WTW86271 Wärmepumpentrockner / A++ / 8 kg / Weiß / Selbstreinigender Kondensator","15.95","0.47","B00JGWVGN8","Siemens iQ700 WT46W261 iSensoric Wärmepumpentrockner / A++ / 8 kg / Weiß / Selbstreinigender Kondensator / softDry-Trommelsystem / Super40","12.9","0.46","B004EPYJYU","Beko DCU 7330 Kondenstrockner / B / 504 kWh/Jahr / 7 kg / Weiß / Multifunktionsdisplay / Knitterschutz","8.06","2.71","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","calvin klein unterwäsche herren","99.73","B00JVILAJM","Calvin Klein Herren Boxershorts TRUNK, 3er Pack U2662G, Ohne Eingriff","43.18","0","B00GC1PSTY","Calvin Klein underwear Herren Boxershort COTTON STRETCH - 3P LOW RISE TRUNK","12.05","0","B013QOOLTW","","7.25","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","cd player kinder","99.73","B0028R3B90","Lenco SCD-24 Stereo UKW-Radio mit CD-Player und Teleskopantenne pink","13.3","4.93","B00F0A7ZT4","Grundig RCD 1445 Radio (USB 2.0) mit CD/-MP3/-WMA Wiedergabe pink/silber","7.54","2.48","B0145FI0PW","X4-TECH Bobby Joey Kinder MP3-CD-Player mit Akku grün","5.91","3.21","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","dolce gusto","99.73","B007SNAJ3K","DeLonghi EDG 605.B Nescafé Dolce Gusto Circolo Kaffeekapselmaschine (1500 Watt, automatisch) schwarz","15.14","4.79","B00CV97TKC","DeLonghi EDG 305.WB Nescafé Dolce Gusto Mini Me Kaffeekapselmaschine (automatisch) weiß","14.36","11.67","B01KPN9KAW","DeLonghi EDG 737.B Nescafé Dolce Gusto Eclipse Kaffeekapselmaschine brushed schwarz metal","14.27","5.18","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","fire","99.73","B00ZDWLEEG","Fire-Tablet, 17,7 cm (7 Zoll) Display, WLAN, 8 GB (Schwarz) - mit Spezialangeboten","39.3","6.66","B00KAKPZYG","Fire TV Stick","15.82","0.53","B01AHBC23E","Das neue Fire HD 8-Tablet, 20,3 cm (8 Zoll) HD Display, WLAN, 16 GB (Schwarz) - mit Spezialangeboten","14.41","8.81","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","föhn","99.73","B00BCQIK4O","Philips HP8232/00 Ionen-Haartrockner, 2200 Watt, weiß","26.94","6.08","B00BCQIIMS","Philips HP8230/00 Haartrockner, 2100 Watt, schwarz","16.53","6.79","B002EW8KN6","Philips HP8182/00 Haartrockner SalonDry Control mit Ionisierungsfunktion","6.85","6.35","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","gaming headset","99.73","B00CJ5FPUE","Logitech G430 Gaming Kopfhörer (Dolby 7.1-Surround-Sound für PC und PS4) blau","21.75","8.01","B00JJNQG98","HyperX Cloud Gaming Headset für PC/PS4/Mac schwarz","9.66","9.14","B015HG77FC","Logitech G933 Artemis Spectrum Kabelloses professionelles Gaming Kopfhörer (mit 7.1-Surround-Sound, 2,4-GHz-Verbindung) schwarz","5.79","0.29","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","geschenke für männer","99.73","3868837124","Was ich an dir liebe: Eine originelle Liebeserklärung zum Ausfüllen und Verschenken","12.05","1.47","3848513765","100 Dinge, die jedes Paar einmal tun sollte","8.88","0.67","3848510979","Gutscheinbuch Verwöhn-Gutscheine für meinen Schatz: Das besondere Geschenk für Sie oder Ihn","6.4","0.82","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","hundebett","99.73","B0081TNJIW","Knuffelwuff 12623 Hundebett Dreamline - Größe XXL 120 x 85cm, braun","9.35","3.54","B00PDS7X2M","Hound Hundebett Comfort","6.91","1.38","B0089LD1B2","Knuffelwuff 12652 Wasserfestes In und Outdoor Hundebett Lucky - Größe XXL 118 x 85cm Braun","6.37","4.34","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","maus","99.73","B00AZKNPZC","Logitech B100 Optical Business Mouse, schwarz","30.15","10.33","B0052EH8OA","Logitech M185 Maus schnurlos grau","10.84","4.8","B00L6HCXRE","Sharkoon Shark Force Gaming Maus schwarz","5.99","6.24","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","taschenlampe","99.73","B004PZATES","Varta LED Day Light - Taschenlampe (inklusive 2AA) Drei-Komponenten-Gehäuse spritzwassergeschützt","25.09","24.15","B00F9ZH4O6","LED Lenser P7.2 Taschenlampe Box","16.86","3.92","B00B8XAEJ0","NiteCore Taschenlampe LED - Tiny Monster Serie, NC-TM26 3500 Lumen","10.95","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","bücher","99.72","3805250940","Ein ganz neues Leben","14.31","1.51","3862294102","VintageArt 2017: Terminplaner","11.17","0.89","3888979145","Mach dieses Buch fertig: Erweiterte Neuausgabe","6.87","0.12","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","ice age 5","99.72","B01HIF5Y5U","Ice Age - Kollision voraus!","79.7","30.95","B01HIF5XSI","Ice Age - Kollision voraus! [Blu-ray]","9.62","7.12","B0083TAPBY","Ice Age - Eine coole Bescherung","3.92","4.63","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","office 2016","99.72","B01EA1NNN0","Microsoft Office Home and Student 2016 (Product Key Card ohne Datenträger)","35.61","20.54","B01EA1WYS0","Microsoft Office Home and Business 2016 (Product Key Card ohne Datenträger)","17.99","28.7","B01HC4LRY4","","17.52","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","rollschuhe","99.72","B01F2TN1MC","","13.44","0","B01LA06ZL6","","10.1","0","B00ZY1NSUO","HUDORA Rollschuh Roller Disco (Damen/Herren)","4.73","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","supernatural staffel 10","99.72","B01M0QQ4QI","","62.53","0","B01L8I17WM","Supernatural - Staffel 10 [6 DVDs]","33.27","80.05","B00M3L24NA","","0.98","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","adventskalender für männer","99.71","B00F95UZS8","Intersnack Snack Adventskalender, 1er Pack (1 x 640 g)","8.8","2.21","3742300954","Was ich an dir liebe – Adventskalender: Zum Ausfüllen und Verschenken","8.13","1.56","B012CEN4YK","Hallingers Adventskalender Grillkalender BBQ 24 Männersache ADVENT, black Set/Mix 24x Miniglas in Deluxe-Box, 1er Pack (1 x 385 g)","6.02","3.15","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","amazon fire tv","99.71","B00KAKPZYG","Fire TV Stick","40.9","0.62","B00UH2K93O","Amazon Fire TV mit 4K Ultra HD","40.34","45.47","B00UH4UTGO","Amazon Fire TV, Zertifiziert und generalüberholt, mit 4K Ultra HD","6.12","21.67","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","leatherman","99.71","B007ERHK3M","Leatherman LTG831560  Rebar Multifunktionswerkzeug inklusiv Leder Holster, Box","14.77","8.22","B000BS03XA","LEATHERMAN Wave 100% Edelstahl mit 19 Werkzeugen, 1 Stück,LTG830078","12.69","4.94","B006FMPZPW","Leatherman Multifunktionswerkzeug Wingman","6.99","3.41","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","lightning","99.71","B010NV8EIU","mumbi Lightning zu USB Kabel [Apple MFi zertifiziert] 1m für iPhone 7 Plus 7 6 Plus 6s SE 5S 5C 5, iPad Air 2, Mini 3, iPod touch und nano in weiss","90.93","75.02","B010S9M3L6","AmazonBasics Ladekabel Lightning auf USB, 0,9m, zertifiziert von Apple, Weiß","2.93","5.04","B010S9N6OO","AmazonBasics Ladekabel Lightning auf USB, 1,8m, zertifiziert von Apple, Weiß","2.89","8.56","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","terminplaner 2017","99.71","3862294102","VintageArt 2017: Terminplaner","8.27","1.84","3848515423","Mir reichts, ich geh schaukeln 2017: Terminplaner mit Wochenkalendarium","7.67","1.1","3840770017","Buchkalender Balacron schwarz 2017 - Bürokalender A5 / Cheftimer A5 - 1 Tag 1 Seite - 320 Seiten","6.98","5.25","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","the walking dead staffel 6","99.71","B01M0DZXDR","","40.95","0","B01LLWLWE8","The Walking Dead - Die komplette sechste Staffel - Uncut Version inkl. Postkarten (exklusiv bei Amazon.de) [Limited Edition] [6 DVDs]","37.25","35.88","B01LLWM0ZI","The Walking Dead - Die komplette sechste Staffel - Uncut Version inkl. Postkarten (exklusiv bei Amazon.de) [Blu-ray] [Limited Edition]","11.72","10.71","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","trinkflasche","99.71","B00I0509HQ","Nalgene Trinkflasche Kunststoffflaschen Everyday OTF 0.7 Liter","32.8","0","B001NCDE48","Nalgene Trinkflasche Everyday, Grau, 1L","12.15","11.83","B00DZICUSE","Contigo Trinkflasche Swish, Sky Blue, 1000-0238","5.38","3.88","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kindle fire","99.7","B00ZDWLEEG","Fire-Tablet, 17,7 cm (7 Zoll) Display, WLAN, 8 GB (Schwarz) - mit Spezialangeboten","39.19","2.38","B01AHBC23E","Das neue Fire HD 8-Tablet, 20,3 cm (8 Zoll) HD Display, WLAN, 16 GB (Schwarz) - mit Spezialangeboten","19.55","9.15","B01AHBHPS6","Das neue Fire HD 8-Tablet, 20,3 cm (8 Zoll) HD Display, WLAN, 32 GB (Schwarz) - mit Spezialangeboten","7.25","7.27","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","office 365","99.7","B01EA1MRFU","Microsoft Office 365 Home 5PCs/MACs - 1 Jahresabonnement - multilingual (Product Key Card ohne Datenträger)","58.94","30.1","B01EA1P4NM","Microsoft Office 365 Personal - 1 PC/MAC - 1 Jahresabonnement - multilingual (Product Key Card ohne Datenträger)","25.01","18.25","B01L9IR4UK","","3.37","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","rita falk","99.7","3423261277","Weißwurstconnection: Ein Provinzkrimi","66.14","9.51","3423260858","Leberkäsjunkie: Ein Provinzkrimi","7.98","8.79","3423216352","Zwetschgendatschikomplott: Ein Provinzkrimi","4.44","4.84","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","tischkalender 2017","99.7","3731821001","Tischquerkalender Classic Colourlux blau 2017","14.27","10.62","3840779359","Tisch-Querkalender alpha argentum 2017 -  Tischkalender / Bürokalender (29,7 x 13,5) - 1 Woche 2 Seiten - silber","6.76","8.54","3848515253","Der kleine Herzenswunschkalender 2017: Mini-Monatskalender (Geschenkewelt Herzenswünsche)","3.74","0.91","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","under armour","99.7","B01HJ0YRDY","Under Armour Herren Fitness T-shirt und Tank Ua Tech Ss Tee","11.73","0","B01KHJJ392","","8.47","0","B00LEILJQ6","Under Armour Herren Kapuzenjacke CC Storm Rival Full-Zip","8.04","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","bettwäsche","99.69","B008VOEC38","Bierbaum 6277_04 Feinbiber-Bettwäsche Dessin 135 x 200 cm + 80 x 80 cm, mokka","23.21","0.92","B008VOEGY8","Bierbaum 4757_63 Mako-Satin-Bettwäsche Dessin 135 x 200 cm + 80 x 80 cm, rot","8.89","0.52","B00CDIO0MG","Spannbettlaken Jersey Baumwolle | viele Farben alle Größen | Spannbetttuch für Standardmatratzen | 90 x 200 bis 100 x 200 cm CelinaTex 0002771 Lucina anthrazit","4.75","4.66","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","final fantasy","99.69","B00DC3E4BS","Final Fantasy XV - Day One Edition - [PlayStation 4]","53.71","6.19","B01DPMEJKQ","Final Fantasy XV - Deluxe Edition - [PlayStation 4]","12.28","4.91","B00ZULGMW4","World of Final Fantasy Day One Edition","10.18","7.27","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","final fantasy xv","99.69","B00DC3E4BS","Final Fantasy XV - Day One Edition - [PlayStation 4]","50.06","16.09","B01DPMEJKQ","Final Fantasy XV - Deluxe Edition - [PlayStation 4]","24.41","25.93","1911015001","","6.83","11.57","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","razer","99.69","B00MVT7AYW","Razer BlackWidow Chroma Mechanische Gaming Tastatur (RGB Beleuchtet und voll programmbierbar mit 5 Macrotasten)","21.46","1.19","B00ZU1Z7DE","Razer Mamba Tournament Edition Chroma Ergonomische Gaming Maus (16.000 dpi Sensor mit 9 programmierbaren Tasten)","8.24","5.04","B00MXV1Q4I","Razer DeathAdder Chroma RGB beleuchtete Ergonomische Gaming Maus (10.000 dpi Sensor)","7.17","1.29","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","adidas schuhe herren","99.68","B01HQCFGF8","","7.99","0","B0122XISF6","adidas ZX Flux Unisex-Erwachsene Laufschuhe","5.64","0","B01KVU15FC","","3.62","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","daunenjacke herren","99.68","B01HI724CE","Superdry Herren Jacke Polar Sports Puffer","5.64","0","B01LQJL3FY","","5.48","0","B00TX5KRWO","erima Herren Steppjacke, Schwarz/Curcuma, M, 906507","3.83","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","dildo","99.68","B01BI5QHR0","","21.81","0","B000FUI48U","Orion 523119 Penis-Nachbildung European Lover, 23 cm lang, Ø 4 cm-4,5 cm","13.02","10.24","B01HY74VVA","","8.8","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","echo","99.68","B01K9KZA14","Amazon Echo Dot-Hülle (nur für Echo Dot 2. Generation geeignet), Midnight Leder","70.72","3.3","B01GP0NLPE","Alexa-Sprachfernbedienung für Amazon Echo und Echo Dot","5.47","0.76","B017X72IES","TP-Link HS110(EU) intelligente WLAN Steckdose (mit Verbrauchsanzeige, funktioniert mit Amazon Echo und Alexa, mit App Steuerung überall und zu jeder Zeit)","5.13","1.8","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","funkwecker","99.68","B00BVWJ5RU","Hama Funk Wecker RC550 (sensorgesteuerte Nachtlichtfunktion, Schlummerfunktion, Temperatur- und Datumsanzeige) schwarz","11.69","0.34","B00LO9BZ8M","TFA Dostmann 60.2528.02 BINGO Funk-Wecker, weiß/grün","11.53","0.31","B002IKFYPG","Hama Reise Funk Wecker RC200 (Thermometer, Hintergrundbeleuchtung, zwei Weckzeiten, automatische Zeitanpassung) schwarz","6.77","0.62","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","homeland","99.68","B00JMJZR30","","70.47","0","B00JZK7A3Q","","15.82","0","B01DD6TT40","Homeland - Die komplette Season 5 [4 DVDs]","6.65","13.56","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","mass effect andromeda","99.68","B00ZR5A472","Mass Effect: Andromeda - [PlayStation 4]","52.42","17.15","B01N01Y6WP","Mass Effect: Andromeda - [PC]","20.52","18.05","1506700756","The Art of Mass Effect: Andromeda","6.58","28.83","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","nintendo classic mini: nintendo entertainment system","99.68","B01IFJEWTM","Nintendo Classic Mini: Nintendo Entertainment System","75.87","0","B01N8WYK41","","8.7","0","B01IH5O186","Nintendo Classic Mini: NES-Controller","8.32","0.87","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","thermomix","99.68","3943807827","Mix ohne Fix!: Lieblingsgerichte aus dem Thermomix","13.2","3.02","3943807924","Mix ohne Fix - BAND 2!: Lieblingsgerichte aus dem Thermomix","8","1.85","3943807894","Mit Genuss durch den Advent: Der kleine MixGenuss ADVENTSKALENDER mit Rezepten für den Thermomix","6.86","2.56","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","tip toi","99.68","B00V8KFAHY","Ravensburger 00700 - tiptoi Stift mit Player","11.98","1.6","B00V8K81AM","Ravensburger 00507 - tiptoi Starter-Set mit Stift und Buch Wieso? Weshalb? Warum? Entdecke den Bauernhof","11.55","0.75","B00V8K83A0","Ravensburger 00508 - tiptoi Starter-Set mit Stift und Buch Bilderlexikon Tiere","11.05","0.77","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","wetterstation mit außensensor","99.68","B001GOPRC0","Wetterstation WS 9140-IT mit Funkuhr und Innen- und Außentemperaturanzeige","10.91","1.21","B00NB04MZA","ADE Wetterstation WS 1402 mit Funk-Außensensor (weiß)","5.29","2.23","B00LGIFEE2","Bresser Funkwetterstation Temeo Trend LG, schwarz (neue Version)","5.01","2.01","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","garmin","99.67","B01ENLHSRY","","18.98","0","B017BO18LM","Garmin vívosmart HR Fitness-Tracker - integrierte Herzfrequenzmessung am Handgelenk, Smart Notifications","14.26","0","B016ZWT64M","Garmin Forerunner 235 WHR Laufuhr (Herzfrequenzmessung am Handgelenk, Smart Notifications)","7.31","0.21","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","heelys","99.67","B01H3E0VWM","","12.07","0","B01FR40QJ8","Heelys Mädchen Propel 2.0 770291 Lauflernschuhe Sneakers,","6.68","0","B01H7BQZQC","","5.86","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","independence day 2","99.67","B01IDNFVGI","Independence Day: Wiederkehr","67.36","23.57","B01IDNG04A","Independence Day: Wiederkehr [Blu-ray]","15.84","3.98","B01JRFRMRM","Independence Day 1+2 - Box Set [Blu-ray]","7.31","8.85","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kärcher fenstersauger","99.67","B00HUORV7Y","Kärcher 1.633-301.0 Fenstersauger WV2 Plus","46.08","14.36","B00UXC5G0O","Kärcher WV5 Fenstersauger, premium weiß","11.2","15.04","B0017S4YN8","Kärcher Fenstersauger WV 50 plus","10.78","0.31","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","led lenser","99.67","B00F9ZH4O6","LED Lenser P7.2 Taschenlampe Box","20.04","6.85","B016P27MGG","LED Lenser P7R Box, Taschenlampe 9408-R","8.03","3.97","B00FYVF62C","LED Lenser H7R.2 Box, Stirnlampe","7.41","4","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","mechanische tastatur","99.67","B00MVT7AYW","Razer BlackWidow Chroma Mechanische Gaming Tastatur (RGB Beleuchtet und voll programmbierbar mit 5 Macrotasten)","9.77","0.19","B00EYT2B82","Roccat Ryos MK Advanced Mechanische Gaming Tastatur (DE-Layout, Mechanische Tasten, MX Key Switch schwarz)","7.45","1.09","B011102VSQ","Corsair Gaming CH-9000088-DE Strafe Mechanische Gaming Tastatur (Cherry MX red Performance rote LED Beleuchtung) schwarz","6.26","1.75","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","nes classic mini","99.67","B01IFJEWTM","Nintendo Classic Mini: Nintendo Entertainment System","65.52","0","B01IH5O186","Nintendo Classic Mini: NES-Controller","9.22","2.96","B01N8WYK41","","5.47","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","roboter","99.67","B015TCPCAG","","10.01","0","B01FJW1RMI","Clementoni 69381.8 - Cyber Roboter, Experimentieren","8.92","13.19","B00TOBXQP2","Clementoni 69412.9 - Galileo - Mein Roboter, Experimentierkaesten","7.16","6.67","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","vogelhaus","99.67","B004S6QFP6","Habau 1731 Futterhaus Bergfink","16.26","9.9","B01EVG63OK","Relaxdays 10020086_469 Vogelhaus mit Ständer HBT Vogelhäuschen aus Holz als Vogelfutterhaus für Zaunkönig, Eichelhäher schicke Vogelfutterstelle und Vogelvilla mit grünem Dach, natur","7.6","2.77","B00OY271PW","Habau 1772 Futterstation aus Edelstahl mit Ständer","7.28","6.41","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","bastelset","99.66","B00TYEDG3G","Knorrtoys F15425 - Bastelkoffer groß - 1500-teilig","6.66","2.78","B01HTGMMPI","Knorrtoys F15423 - Bastelset Eimer, 750 teilig","5.8","6.05","B00HYHHMDU","Kosmos 604080 - AllesKönnerKiste, Monster nähen","5.48","2.46","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","buntstifte","99.66","B0014E4MWS","Staedtler Buntstifte Noris Club Set 24 Farben - brillante Farben, leicht zu spitzen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","dampfreiniger","99.66","B00QM98DKC","Kärcher 1.513-000.0 Dampfreiniger SC 3","16.98","5.97","B00LPHUTOO","Vileda Steam Dampfreiniger für hygienische und gründliche Sauberkeit","16.78","0.96","B00QFDBIAM","Kärcher 1.516-260.0 Dampfreiniger SC 1","9.39","7.32","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","druckerpapier","99.66","B00FFU3HVY","Avery Zweckform 2575 Drucker- und Kopierpapier A4 (80 g/m², 500 Blatt) weiß (Optimierte Schutzverpackung)","44.86","8.47","B00NEOJR3A","Avery Zweckform 2575 Drucker- und Kopierpapier A4, 80 g/m², 5 x 500 Blatt, alle Drucker, weiß (Frustfreie Verpackung)","8.52","7.55","B000JTKDCW","Hewlett Packard CHP110 - hp OFFICE Kopierpapier DIN A4, 80 g/qm, 500 Blatt, hochweiß","7.91","5.62","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","hygrometer","99.66","B007SAM4E0","TFA 30.5026.01 Dostmann digitales Thermo-Hygrometer Moxx, schwarz, 5.7 x 1.3 x 6.9cm","33.1","8.19","B008CF3CQO","TFA Dostmann 45.2033 Präzisions Thermo-Hygrometer","16.47","10.63","B00HYRE256","TFA Dostmann digitales Thermo-Hygrometer 30.5033.02","7.41","5.19","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","lumia 950 xl hülle","99.66","B00WSEWKWM","mumbi Schutzhülle Microsoft Lumia 950 XL Hülle","29.25","8.08","B00WSEWDMY","mumbi Schutzhülle Microsoft Lumia 950 XL Hülle transparent weiss","28.56","8.89","B00WSEW9M8","mumbi Tasche im Bookstyle für Microsoft Lumia 950 XL Tasche","18.64","35.55","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","mikrofon","99.66","B00AE4T0Q2","Auna MIC-900B USB Kondensator Mikrofon für Studio-Aufnahmen inkl. Spinne (16mm Kapsel, Nierencharakteristik, 320Hz - 18KHz) schwarz","27.12","3.1","B005SHO2ZO","Speedlink Capo Desktop und Hand Mikrofon (perfekt für Sprach- und Gesangsaufnahmen, inklusive Stativ, rauschunterdrückend, 3,5mm Klinke)","15.01","7.49","B0002KZAKS","Behringer Ultravoice XM8500 Dynamisches Gesangsmikrofon mit Nierencharakteristik","10.07","16.33","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","spielzeug ab 2 jahren","99.66","B0002MOJ62","Quercetti 4190 - Fantacolor Junior","6","4.87","B006P9BWM0","Vtech Baby 80-124004 - Fröhliche Taschenlampe","3.85","3.87","B0012D2CWS","Ravensburger 21403 - Tiere und ihre Kinder","3.64","4.13","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","3d drucker","99.65","B00LLF5QNO","Ultimaker UM2 3D-Drucker, weiß","11.66","0","B00OG3LWJK","BQ 05BQKIT040 Kit Prusa i3 Hephestos 3D Drucker, PLA/HIPS/FilaFlex, Rot","9.23","0","B00ZAD8II8","Dremel 3D-Drucker Idea Builder, Filamentspule weiß, Stromkabel, USB-Kabel, SD-Karte, Spulenarretierung, Druckmatte, Nivellierblatt, Reinigungsdorn, Karton","7.3","4.03","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","beats kopfhörer","99.65","B00KD805BS","Beats by Dr. Dre Solo2 Kopfhörer (On-Ear) schwarz","26.15","7.08","B01LVVF94H","Beats by Dr. Dre EP Kopfhörer schwarz","9.74","6.93","B00KD80B0S","Beats by Dr. Dre Solo2 Kopfhörer (On-Ear) weiß","9.56","7.89","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","metallica","99.65","B01KOHMOIO","Hardwired…To Self-Destruct","33.98","3.88","B01H803VH8","The Ultimate Roots of","16.78","10.65","B01KOHOD7O","Hardwired…To Self-Destruct (Deluxe Edition)","14.29","0.94","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","nike","99.65","B00RD8IRK2","Nike Jungen Kapuzenpullover Team Club, black/football white, S (128-137), 658500-010","10.52","4.3","B01ASF16TA","","10","0","B01IVARDZU","","8.53","0","","","","","","","","","","","","","","","","","","","","","",""
